Source,CH1,CH2
Second,Volt,Volt
-0.02203200000,-7.36000,-6.88000,
-0.02202799844,-7.36000,-6.88000,
-0.02202400000,-7.36000,-6.88000,
-0.02201999844,-7.36000,-6.88000,
-0.02201600000,-7.36000,-6.96000,
-0.02201199844,-7.36000,-6.88000,
-0.02200800000,-7.36000,-6.88000,
-0.02200400156,-7.36000,-6.96000,
-0.02200000000,-7.36000,-6.96000,
-0.02199600156,-7.36000,-6.88000,
-0.02199200000,-7.36000,-6.96000,
-0.02198800000,-7.36000,-6.88000,
-0.02198400000,-7.36000,-6.88000,
-0.02198000000,-7.36000,-6.88000,
-0.02197600000,-7.36000,-6.88000,
-0.02197200000,-7.36000,-6.96000,
-0.02196800000,-7.36000,-6.96000,
-0.02196400000,-7.36000,-6.96000,
-0.02196000000,-7.36000,-6.88000,
-0.02195600000,-7.36000,-6.96000,
-0.02195200000,-7.36000,-6.96000,
-0.02194800000,-7.36000,-6.96000,
-0.02194400000,-7.36000,-6.96000,
-0.02194000000,-7.36000,-6.88000,
-0.02193600000,-7.36000,-6.88000,
-0.02193200000,-7.36000,-6.88000,
-0.02192800000,-7.44000,-6.88000,
-0.02192400000,-7.36000,-6.96000,
-0.02192000000,-7.36000,-6.96000,
-0.02191600000,-7.36000,-6.88000,
-0.02191199844,-7.36000,-6.88000,
-0.02190800000,-7.36000,-6.96000,
-0.02190399844,-7.36000,-6.96000,
-0.02190000000,-7.36000,-6.96000,
-0.02189599844,-7.36000,-6.96000,
-0.02189200000,-7.36000,-6.88000,
-0.02188799844,-7.36000,-6.96000,
-0.02188400000,-7.36000,-6.96000,
-0.02188000156,-7.36000,-6.96000,
-0.02187600000,-7.36000,-6.96000,
-0.02187200000,-7.36000,-6.96000,
-0.02186800000,-7.36000,-6.96000,
-0.02186400000,-7.36000,-6.96000,
-0.02186000000,-7.36000,-6.96000,
-0.02185600000,-7.36000,-6.96000,
-0.02185200000,-7.44000,-6.88000,
-0.02184800000,-7.36000,-6.96000,
-0.02184400000,-7.36000,-6.96000,
-0.02184000000,-7.36000,-6.96000,
-0.02183600000,-7.36000,-6.96000,
-0.02183200000,-7.36000,-6.96000,
-0.02182800000,-7.36000,-6.96000,
-0.02182400000,-7.36000,-6.96000,
-0.02182000000,-7.36000,-6.96000,
-0.02181600000,-7.36000,-6.96000,
-0.02181200000,-7.36000,-6.96000,
-0.02180800000,-7.36000,-6.96000,
-0.02180400000,-7.44000,-6.96000,
-0.02180000000,-7.44000,-6.96000,
-0.02179600000,-7.36000,-6.96000,
-0.02179200000,-7.36000,-6.96000,
-0.02178799844,-7.36000,-6.96000,
-0.02178400000,-7.36000,-6.96000,
-0.02177999844,-7.36000,-6.96000,
